school,major,applied,admitted,enrolled,selectivity_rate,yield_rate,gpa,verbal,math,writing
Arts,Art,742,205,28,27.60%,13.70%,3.9,554,608,558
Arts,Dance,217,112,38,51.60%,33.90%,3.72,564,571,560
Arts,Drama,545,170,37,31.20%,21.80%,4,597,575,597
Arts,Music - Performance,0,0,0,0.00%,0.00%,N/A,N/A,N/A,N/A
Arts,Music,223,100,18,44.80%,18.00%,3.52,584,608,593
Arts,Studio Art,0,0,0,0.00%,0.00%,N/A,N/A,N/A,N/A
Arts,Undeclared,389,94,6,24.20%,6.40%,3.83,548,605,562
Biological Sciences,Biological Sciences,8864,4700,1043,53.00%,22.20%,4,569,604,573
Biological Sciences,Biology/Education,720,248,31,34.40%,12.50%,3.95,576,561,556
Biological Sciences,Ecology and Evolutionary Biology,377,152,13,40.30%,8.60%,3.91,576,575,559
Business,Business Administration,6887,1256,174,18.20%,13.90%,4.15,570,625,587
Education,Education Sciences,768,270,80,35.20%,29.60%,3.92,547,572,550
Education,Undeclared,220,42,0,19.10%,0.00%,N/A,N/A,N/A,N/A
Engineering,Aerospace Engineering,836,298,70,35.60%,23.50%,4.07,576,650,571
Engineering,Biomedical Engineering,1001,565,113,56.40%,20.00%,4.07,626,666,608
Engineering,Biomedical Engineering: Premed,544,216,10,39.70%,4.60%,4.18,618,670,628
Engineering,Chemical Engineering,632,315,39,49.80%,12.40%,4.14,590,659,599
Engineering,Civil Engineering,1069,398,90,37.20%,22.60%,4.01,580,635,573
Engineering,Computer Engineering,1423,633,184,44.50%,29.10%,4,588,669,580
Engineering,Computer Science and Engineering,117,117,103,100.00%,88.00%,3.99,618,667,590
Engineering,Electrical Engineering,965,503,80,52.10%,15.90%,3.98,567,666,573
Engineering,Environmental Engineering,334,201,29,60.20%,14.40%,4.05,576,642,563
Engineering,Materials Science Engineering,245,162,19,66.10%,11.70%,3.98,528,614,530
Engineering,Mechanical Engineering,2085,686,129,32.90%,18.80%,4.09,591,673,584
Engineering,Undeclared,1119,332,41,29.70%,12.30%,4.09,582,650,593
Humanities,African-American Studies,42,6,0,14.30%,0%,N/A,N/A,N/A,N/A
Humanities,Art History,104,38,3,36.50%,7.90%,N/A,N/A,N/A,N/A
Humanities,Asian American Studies,58,7,0,12.10%,0.00%,N/A,N/A,N/A,N/A
Humanities,Chinese Language and Literature,0,0,0,0.00%,0.00%,N/A,N/A,N/A,N/A
Humanities,Chinese Studies,44,10,1,22.70%,10.00%,N/A,N/A,N/A,N/A
Humanities,Classical Civilization,0,0,0,0.00%,0.00%,N/A,N/A,N/A,N/A
Humanities,Classics,35,11,2,31.40%,18.20%,N/A,N/A,N/A,N/A
Humanities,Comparative Literature,93,48,4,51.60%,8.30%,N/A,N/A,N/A,N/A
Humanities,East Asian Cultures,68,27,2,39.70%,7.40%,N/A,N/A,N/A,N/A
Humanities,English,928,357,61,38.50%,17.10%,4.01,617,571,603
Humanities,European Studies,48,13,3,27.10%,23.10%,N/A,N/A,N/A,N/A
Humanities,Film and Media Studies,732,257,49,35.10%,19.10%,3.91,576,631,595
Humanities,French,34,10,1,29.40%,10.00%,N/A,554,598,550
Humanities,Gender and Sexuality Studies,130,49,1,37.70%,2.00%,N/A,N/A,N/A,N/A
Humanities,German Studies,18,5,1,27.80%,20.00%,N/A,N/A,N/A,N/A
Humanities,Global Cultures,73,21,5,28.80%,23.80%,3.87,588,655,648
Humanities,History,335,111,13,33.10%,11.70%,3.93,616,597,593
Humanities,Japanese Lanuage and Literature,65,18,3,27.70%,16.70%,N/A,N/A,N/A,N/A
Humanities,Korean Literature and Culture,34,5,1,14.70%,20.00%,N/A,N/A,N/A,N/A
Humanities,Latin,0,0,0,0.00%,0.00%,N/A,N/A,N/A,N/A
Humanities,Literary Journalism,283,102,23,36.00%,22.50%,3.92,595,548,598
Humanities,Philosophy,197,76,8,38.60%,10.50%,3.84,530,560,560
Humanities,Religious Studies,56,13,1,23.20%,7.70%,N/A,N/A,N/A,N/A
Humanities,Spanish,179,50,3,27.90%,6.00%,N/A,519,544,521
Humanities,Undeclared,519,171,15,32.90%,8.80%,3.95,555,608,584
Humanities,Women's Studies,0,0,0,0.00%,0.00%,N/A,N/A,N/A,N/A
Info and Computer Sci,Biomedical Computing,0,0,0,0.00%,0.00%,N/A,N/A,N/A,N/A
Info and Computer Sci,Business Information Management,421,116,20,27.60%,17.20%,4.07,579,643,613
Info and Computer Sci,Computer Game Science,655,156,54,23.80%,34.60%,4.11,612,676,605
Info and Computer Sci,Computer Science,3121,1345,332,43.10%,24.70%,4.08,620,672,612
Info and Computer Sci,Computer Science and Engineering,100,100,97,100.00%,97.00%,4.02,600,685,608
Info and Computer Sci,Data Science,128,44,5,34.40%,11.40%,4.1,N/A,N/A,N/A
Info and Computer Sci,Informatics,94,28,8,29.80%,28.60%,4.11,568,655,573
Info and Computer Sci,Information and Computer Science,0,0,0,0.00%,0.00%,N/A,N/A,N/A,N/A
Info and Computer Sci,Software Engineering,223,92,27,41.30%,29.30%,4.09,578,696,610
Info and Computer Sci,Undeclared,311,67,10,21.50%,14.90%,3.98,611,683,632
