school,ethnicity,applied,admitted,enrolled,selectivity_rate,yield_rate,gpa,verbal,math,writing
Arts,American Indian / Alaskan Native,15,1,0,6.70%,0.00%,N/A,N/A,N/A,N/A
Arts,Asian / Pacific Islander,564,205,38,36.30%,18.50%,3.8,588,621,583
Arts,"Black,  non-Hispanic",144,29,6,20.10%,20.70%,3.64,590,558,590
Arts,Hispanic,576,136,32,23.60%,23.50%,3.77,591,546,550
Arts,"White,  non-Hispanic",494,189,38,38.30%,20.10%,3.95,621,592,605
Arts,Unknown / declined to state,62,22,3,35.50%,13.60%,N/A,N/A,N/A,N/A
Arts,International student,261,99,10,37.90%,10.10%,3.64,543,739,566
Biological Sciences,American Indian / Alaskan Native,32,14,2,43.80%,14.30%,N/A,N/A,N/A,N/A
Biological Sciences,Asian / Pacific Islander,"4,029","2,344",496,58.20%,21.20%,4.04,604,630,602
Biological Sciences,"Black,  non-Hispanic",492,187,40,38.00%,21.40%,3.89,583,567,567
Biological Sciences,Hispanic,"2,788","1,090",288,39.10%,26.40%,3.96,549,547,537
Biological Sciences,"White,  non-Hispanic","1,641",880,157,53.60%,17.80%,4.03,612,611,595
Biological Sciences,Unknown / declined to state,285,168,25,58.90%,14.90%,4.03,621,638,620
Biological Sciences,International student,694,417,79,60.10%,18.90%,3.81,507,715,563
Business,American Indian / Alaskan Native,24,6,1,25.00%,16.70%,N/A,N/A,N/A,N/A
Business,Asian / Pacific Islander,"2,348",525,92,22.40%,17.50%,4.15,596,656,611
Business,"Black,  non-Hispanic",326,35,3,10.70%,8.60%,N/A,583,567,567
Business,Hispanic,"1,585",198,35,12.50%,17.70%,4.14,534,561,548
Business,"White,  non-Hispanic","1,065",217,18,20.40%,8.30%,4.19,588,629,591
Business,Unknown / declined to state,177,52,4,29.40%,7.70%,N/A,N/A,N/A,N/A
Business,International student,"1,362",223,21,16.40%,9.40%,4.06,547,723,577
Education,American Indian / Alaskan Native,1,0,0,0.00%,0.00%,N/A,N/A,N/A,N/A
Education,Asian / Pacific Islander,256,81,26,31.60%,32.10%,3.97,587,633,597
